System,Status,Count,MAP,nDCG@10,Recall@10
BM25 (Baseline),OK,15088,0.7125512518453437,0.74998475786778,0.8718186638388123
S-BERT (Dense),OK,15088,0.5274533606894917,0.5712872680894099,0.7287248144220573
Gemini (Zero-Shot),OK,1500,0.7938055555555558,0.8215042524111899,0.9013333333333333
Gemini (Few-Shot),OK,1500,0.7912888888888888,0.8197253155669451,0.9013333333333333
